Freq	S11_real	S11_imag	S21_real	S21_imag	S12_real	S12_imag	S22_real	S22_imag
16.12	-2.61324926	-26.0405418	-13.435376	-70.9123247	-13.4351526	-70.9162176	-2.62918087	-26.1318441
16.14	-2.5985029	-26.6475678	-13.3433839	-71.2745046	-13.3431946	-71.2783959	-2.6144132	-26.7369136
16.16	-2.58383194	-27.2651895	-13.2466425	-71.672522	-13.2464876	-71.6763897	-2.59971044	-27.3525402
16.18	-2.56930801	-27.8942553	-13.1452812	-72.1087164	-13.1451603	-72.1125383	-2.58514348	-27.9795719
16.2	-2.55501518	-28.5356474	-13.0394502	-72.5854946	-13.0393627	-72.5892487	-2.57079563	-28.6188911
16.22	-2.5410516	-29.19028	-12.9293227	-73.1053295	-12.9292679	-73.1089942	-2.5567642	-29.2714121
16.24	-2.52753127	-29.8590955	-12.8150977	-73.6707579	-12.815074	-73.6743121	-2.54316229	-29.9380778
16.26	-2.51458596	-30.5430602	-12.6970015	-74.2843766	-12.6970076	-74.2878002	-2.53012072	-30.6198553
16.28	-2.50236729	-31.2431572	-12.5752917	-74.9488366	-12.5753254	-74.9521107	-2.51779011	-31.3177289
16.3	-2.49104902	-31.9603775	-12.4502593	-75.6668358	-12.4503184	-75.6699429	-2.50634313	-32.0326915
16.32	-2.48082943	-32.6957087	-12.3222324	-76.4411076	-12.3223143	-76.444032	-2.49597692	-32.7657328
16.34	-2.47193382	-33.4501201	-12.1915798	-77.2744077	-12.1916816	-77.2771356	-2.48691556	-33.5178248
16.36	-2.46461705	-34.2245438	-12.0587144	-78.1694954	-12.058833	-78.1720154	-2.47941266	-34.2899035
16.38	-2.45916612	-35.0198524	-11.9240974	-79.129111	-11.9242295	-79.131414	-2.47375388	-35.0828453
16.4	-2.45590256	-35.8368303	-11.7882419	-80.1559473	-11.788384	-80.1580272	-2.47025937	-35.8974401
16.42	-2.45518461	-36.676141	-11.6517171	-81.252615	-11.6518655	-81.2544684	-2.46928592	-36.7343574
16.44	-2.45740897	-37.5382868	-11.5151511	-82.4216006	-11.5153022	-82.4232275	-2.47122875	-37.5941067
16.46	-2.46301191	-38.4235629	-11.379235	-83.6652175	-11.3793852	-83.6666208	-2.47652261	-38.4769918
16.48	-2.47246949	-39.3320047	-11.2447246	-84.9855474	-11.2448702	-84.9867335	-2.48564203	-39.3830577
16.5	-2.48629653	-40.2633277	-11.1124418	-86.3843749	-11.1125794	-86.3853537	-2.49910026	-40.3120311
16.52	-2.50504402	-41.2168625	-10.983275	-87.8631134	-10.9834013	-87.8638978	-2.5174468	-41.2632554
16.54	-2.52929465	-42.1914844	-10.8581768	-89.4227232	-10.8582889	-89.4233293	-2.54126281	-42.2356204
16.56	-2.55965582	-43.1855403	-10.7381604	-91.063625	-10.7382557	-91.0640717	-2.57115426	-43.2274892
16.58	-2.59675005	-44.1967759	-10.6242926	-92.785609	-10.6243692	-92.7859177	-2.60774233	-44.2366258
16.6	-2.64120224	-45.2222674	-10.5176845	-94.5877449	-10.5177407	-94.587939	-2.65165069	-45.2601268
16.62	-2.69362368	-46.2583621	-10.4194784	-96.4682959	-10.4195133	-96.4684002	-2.70348957	-46.294362
16.64	-2.75459275	-47.3006346	-10.3308315	-98.424643	-10.3308448	-98.4246831	-2.76383652	-47.3349306
16.66	-2.8246325	-48.3438651	-10.2528962	-100.453225	-10.2528883	-100.453226	-2.83321402	-48.37664
16.68	-2.90418396	-49.382011	-10.1868009	-102.549476	-10.1867727	-102.549464	-2.91206284	-49.4134774
16.7	-2.99358495	-50.4083566	-10.133615	-104.707891	-10.1335682	-104.707887	-3.000721	-50.438759
16.72	-3.09303776	-51.4154932	-10.0943326	-106.921973	-10.0942695	-106.921999	-3.09939148	-51.4451107
16.74	-3.2025853	-52.3954832	-10.0698429	-109.184329	-10.0697661	-109.184402	-3.20811848	-52.4246315
16.76	-3.32208847	-53.3400355	-10.0609045	-111.486762	-10.0608172	-111.486895	-3.32676492	-53.3690688
16.78	-3.45120872	-54.2407223	-10.0681241	-113.82042	-10.0680296	-113.820622	-3.45499513	-54.2700349
16.8	-3.58939764	-55.0892306	-10.0919379	-116.175959	-10.0918398	-116.176235	-3.59226451	-55.1192572
16.82	-3.73589506	-55.8776363	-10.1326007	-118.543747	-10.1325023	-118.544097	-3.73781782	-55.9088519
16.84	-3.88973693	-56.5986864	-10.1901796	-120.914076	-10.1900843	-120.914496	-3.8906971	-56.6316041
16.86	-4.04977321	-57.2460716	-10.2645566	-123.277374	-10.2644674	-123.277854	-4.0497596	-57.2812395
16.88	-4.21469555	-57.8146716	-10.3554371	-125.624412	-10.3553566	-125.624943	-4.21370546	-57.8526675
16.9	-4.38307327	-58.3007569	-10.4623651	-127.946494	-10.4622953	-127.94706	-4.38111362	-58.3421813
16.92	-4.55339603	-58.7021322	-10.584743	-130.235609	-10.5846855	-130.236195	-4.5504843	-58.7475989
16.94	-4.72412048	-59.0182128	-10.7218565	-132.484554	-10.7218122	-132.485143	-4.72028543	-59.0683381
16.96	-4.89371818	-59.2500278	-10.8728999	-134.687016	-10.8728692	-134.687592	-4.88900018	-59.3054185
16.98	-5.06072186	-59.4001536	-11.0370035	-136.837616	-11.0369863	-136.838163	-5.05517291	-59.4613942
17	-5.22376755	-59.4725818	-11.2132595	-138.931911	-11.2132553	-138.932414	-5.21745082	-59.5402208
17.02	-5.38163012	-59.4725325	-11.4007463	-140.966374	-11.400754	-140.966821	-5.37461906	-59.5470705
17.04	-5.5332508	-59.4062284	-11.5985501	-142.938338	-11.5985685	-142.938719	-5.52562788	-59.4881068
